dataset,seed,method,eps,attack_success_rate,attacked_accuracy,median_min_flip_linf,reachable_fraction
mfeat_morphological,13,mags_fixed,0.05,0.0628571428571428,0.6828571428571428,0.4390742420533183,1.0
mfeat_morphological,13,mags_tuned,0.05,0.2142857142857142,0.6942857142857143,0.1648470688213905,1.0
mfeat_morphological,13,matched_gini,0.05,0.0628571428571428,0.6828571428571428,0.4394848446637673,1.0
mfeat_morphological,13,noise_augmented_cart,0.05,0.0314285714285714,0.6871428571428572,0.2076687102952709,1.0
mfeat_morphological,14,cart_fixed,0.05,0.0314285714285714,0.7114285714285714,0.4216010986272965,1.0
mfeat_morphological,14,cart_pruned,0.05,0.0628571428571428,0.7128571428571429,0.4288615603586853,1.0
mfeat_morphological,14,cart_tuned_depth,0.05,0.13,0.7242857142857143,0.2032014653807218,1.0
mfeat_morphological,14,mags_binary_excluded,0.05,0.0585714285714285,0.71,0.4089666059990518,1.0
mfeat_morphological,14,mags_fixed,0.05,0.0585714285714285,0.71,0.4089666059990518,1.0
mfeat_morphological,14,mags_tuned,0.05,0.0771428571428571,0.7214285714285714,0.3313958141500486,1.0
mfeat_morphological,14,matched_gini,0.05,0.06,0.7071428571428572,0.4117165136428236,1.0
mfeat_morphological,14,noise_augmented_cart,0.05,0.0271428571428571,0.7014285714285714,0.4325084422146917,1.0
mfeat_morphological,15,cart_fixed,0.05,0.0414285714285714,0.6857142857142857,0.4698836643115933,1.0
mfeat_morphological,15,cart_pruned,0.05,0.06,0.6814285714285714,0.3557941058905635,1.0
mfeat_morphological,15,cart_tuned_depth,0.05,0.0414285714285714,0.6857142857142857,0.4698836643115933,1.0
mfeat_morphological,15,mags_binary_excluded,0.05,0.0814285714285714,0.6614285714285715,0.398466069803188,1.0
mfeat_morphological,15,mags_fixed,0.05,0.0814285714285714,0.6614285714285715,0.398466069803188,1.0
mfeat_morphological,15,mags_tuned,0.05,0.2128571428571428,0.6728571428571428,0.1450255628988777,1.0
mfeat_morphological,15,matched_gini,0.05,0.0914285714285714,0.6614285714285715,0.3717520738841293,1.0
mfeat_morphological,15,noise_augmented_cart,0.05,0.0071428571428571,0.69,0.4186965237431909,1.0
mfeat_morphological,16,cart_fixed,0.05,0.0442857142857142,0.5714285714285714,0.4417069490020566,1.0
mfeat_morphological,16,cart_pruned,0.05,0.0385714285714285,0.7171428571428572,0.4417069490020566,1.0
mfeat_morphological,16,cart_tuned_depth,0.05,0.0657142857142857,0.6514285714285715,0.3419771159469201,1.0
mfeat_morphological,16,mags_binary_excluded,0.05,0.0457142857142857,0.6757142857142857,0.4417069804394331,1.0
mfeat_morphological,16,mags_fixed,0.05,0.0457142857142857,0.6757142857142857,0.4417069804394331,1.0
mfeat_morphological,16,mags_tuned,0.05,0.1942857142857142,0.73,0.1890819726506498,1.0
mfeat_morphological,16,matched_gini,0.05,0.0428571428571428,0.5871428571428572,0.4417069814394331,1.0
mfeat_morphological,16,noise_augmented_cart,0.05,0.0271428571428571,0.58,0.4521223583071838,1.0
mfeat_morphological,17,cart_fixed,0.05,0.0342857142857142,0.7,0.4354859602814038,1.0
mfeat_morphological,17,cart_pruned,0.05,0.0442857142857142,0.7185714285714285,0.4826704731633256,1.0
mfeat_morphological,17,cart_tuned_depth,0.05,0.0571428571428571,0.7114285714285714,0.3168218809502195,1.0
mfeat_morphological,17,mags_binary_excluded,0.05,0.0428571428571428,0.6857142857142857,0.4354859867436692,1.0
mfeat_morphological,17,mags_fixed,0.05,0.0428571428571428,0.6857142857142857,0.4354859867436692,1.0
mfeat_morphological,17,mags_tuned,0.05,0.0914285714285714,0.7014285714285714,0.3596323983794041,1.0
mfeat_morphological,17,matched_gini,0.05,0.05,0.6857142857142857,0.4610224095067293,1.0
mfeat_morphological,17,noise_augmented_cart,0.05,0.0157142857142857,0.6857142857142857,0.3469451284464392,1.0
mfeat_morphological,18,cart_fixed,0.05,0.04,0.5714285714285714,0.4377039211565856,1.0
mfeat_morphological,18,cart_pruned,0.05,0.06,0.72,0.4377038553581827,1.0
mfeat_morphological,18,cart_tuned_depth,0.05,0.0728571428571428,0.7242857142857143,0.2856076510497141,1.0
mfeat_morphological,18,mags_binary_excluded,0.05,0.05,0.6628571428571428,0.437703888757384,1.0
mfeat_morphological,18,mags_fixed,0.05,0.05,0.6628571428571428,0.437703888757384,1.0
mfeat_morphological,18,mags_tuned,0.05,0.22,0.7128571428571429,0.2367703072743948,1.0
mfeat_morphological,18,matched_gini,0.05,0.05,0.5842857142857143,0.437703888757384,1.0
mfeat_morphological,18,noise_augmented_cart,0.05,0.0285714285714285,0.5728571428571428,0.4347088733741764,1.0
mfeat_morphological,19,cart_fixed,0.05,0.0642857142857142,0.6928571428571428,0.2682090950229894,1.0
mfeat_morphological,19,cart_pruned,0.05,0.0385714285714285,0.7142857142857143,0.4353112233634412,1.0
mfeat_morphological,19,cart_tuned_depth,0.05,0.1342857142857142,0.7057142857142857,0.1829752289907162,1.0
mfeat_morphological,19,mags_binary_excluded,0.05,0.0714285714285714,0.6914285714285714,0.3522744483344511,1.0
mfeat_morphological,19,mags_fixed,0.05,0.0714285714285714,0.6914285714285714,0.3522744483344511,1.0
mfeat_morphological,19,mags_tuned,0.05,0.2242857142857142,0.6828571428571428,0.1811464358775776,1.0
mfeat_morphological,19,matched_gini,0.05,0.0814285714285714,0.6871428571428572,0.3240104134806678,1.0
mfeat_morphological,19,noise_augmented_cart,0.05,0.02,0.69,0.3585800437222842,1.0
mfeat_morphological,20,cart_fixed,0.05,0.0242857142857142,0.7,0.4376880286854224,1.0
mfeat_morphological,20,cart_pruned,0.05,0.06,0.7242857142857143,0.3069058913023463,1.0
mfeat_morphological,20,cart_tuned_depth,0.05,0.0414285714285714,0.7114285714285714,0.3570804105068148,1.0
mfeat_morphological,20,mags_binary_excluded,0.05,0.0571428571428571,0.6942857142857143,0.405060484293561,1.0
mfeat_morphological,20,mags_fixed,0.05,0.0571428571428571,0.6942857142857143,0.405060484293561,1.0
mfeat_morphological,20,mags_tuned,0.05,0.06,0.6914285714285714,0.3608059223436521,1.0
mfeat_morphological,20,matched_gini,0.05,0.06,0.6914285714285714,0.3608059223436521,1.0
mfeat_morphological,20,noise_augmented_cart,0.05,0.0357142857142857,0.7,0.364620239059,1.0
mfeat_morphological,21,cart_fixed,0.05,0.0242857142857142,0.5742857142857143,0.4351181863841126,1.0
mfeat_morphological,21,cart_pruned,0.05,0.0842857142857142,0.7214285714285714,0.2517699154996354,1.0
mfeat_morphological,21,cart_tuned_depth,0.05,0.2542857142857143,0.6871428571428572,0.0923221206513447,1.0
mfeat_morphological,21,mags_binary_excluded,0.05,0.0528571428571428,0.64,0.4351181754347164,1.0
mfeat_morphological,21,mags_fixed,0.05,0.0528571428571428,0.64,0.4351181754347164,1.0
mfeat_morphological,21,mags_tuned,0.05,0.0885714285714285,0.69,0.3879764701023926,1.0
mfeat_morphological,21,matched_gini,0.05,0.05,0.57,0.4351181754347166,1.0
mfeat_morphological,21,noise_augmented_cart,0.05,0.0242857142857142,0.5742857142857143,0.4454673110541413,1.0
mfeat_morphological,22,cart_fixed,0.05,0.0342857142857142,0.69,0.3666433061373204,1.0
mfeat_morphological,22,cart_pruned,0.05,0.0828571428571428,0.6885714285714286,0.4372670070188544,1.0
mfeat_morphological,22,cart_tuned_depth,0.05,0.0728571428571428,0.6885714285714286,0.3226859497975196,1.0
mfeat_morphological,22,mags_binary_excluded,0.05,0.0642857142857142,0.6728571428571428,0.4372669958602442,1.0
mfeat_morphological,22,mags_fixed,0.05,0.0642857142857142,0.6728571428571428,0.4372669958602442,1.0
mfeat_morphological,22,mags_tuned,0.05,0.22,0.6642857142857143,0.1696890082371084,1.0
mfeat_morphological,22,matched_gini,0.05,0.0642857142857142,0.6728571428571428,0.3603707580357036,1.0
mfeat_morphological,22,noise_augmented_cart,0.05,0.0228571428571428,0.6942857142857143,0.5386935075798498,1.0
mfeat_morphological,23,cart_fixed,0.05,0.0328571428571428,0.7157142857142857,0.4297694845884238,1.0
mfeat_morphological,23,cart_pruned,0.05,0.1542857142857142,0.7128571428571429,0.1375061959044105,1.0
mfeat_morphological,23,cart_tuned_depth,0.05,0.12,0.7171428571428572,0.2019608991683961,1.0
mfeat_morphological,23,mags_binary_excluded,0.05,0.0671428571428571,0.7,0.3643406391560317,1.0
mfeat_morphological,23,mags_fixed,0.05,0.0671428571428571,0.7,0.3643406391560317,1.0
mfeat_morphological,23,mags_tuned,0.05,0.0671428571428571,0.7014285714285714,0.3649232639235125,1.0
mfeat_morphological,23,matched_gini,0.05,0.0671428571428571,0.7,0.3643406391560317,1.0
mfeat_morphological,23,noise_augmented_cart,0.05,0.0585714285714285,0.7014285714285714,0.3914181603585511,1.0
mfeat_morphological,24,cart_fixed,0.05,0.0228571428571428,0.57,0.4391006094416551,1.0
mfeat_morphological,24,cart_pruned,0.05,0.05,0.7428571428571429,0.2324590345895794,1.0
mfeat_morphological,24,cart_tuned_depth,0.05,0.0642857142857142,0.7142857142857143,0.3191511350248055,1.0
mfeat_morphological,24,mags_binary_excluded,0.05,0.0442857142857142,0.64,0.4391005921823496,1.0
mfeat_morphological,24,mags_fixed,0.05,0.0442857142857142,0.64,0.4391005921823496,1.0
mfeat_morphological,24,mags_tuned,0.05,0.0328571428571428,0.66,0.4391005931823497,1.0
mfeat_morphological,24,matched_gini,0.05,0.0414285714285714,0.5657142857142857,0.4391005931823497,1.0
mfeat_morphological,24,noise_augmented_cart,0.05,0.03,0.5728571428571428,0.4580166137363723,1.0
mfeat_morphological,25,cart_fixed,0.05,0.0442857142857142,0.6585714285714286,0.43778240039093,1.0
mfeat_morphological,25,cart_pruned,0.05,0.0785714285714285,0.7128571428571429,0.4377823973507856,1.0
mfeat_morphological,25,cart_tuned_depth,0.05,0.1542857142857142,0.6957142857142857,0.1684100286197118,1.0
mfeat_morphological,25,mags_binary_excluded,0.05,0.0642857142857142,0.6828571428571428,0.3728242034723163,1.0
mfeat_morphological,25,mags_fixed,0.05,0.0642857142857142,0.6828571428571428,0.3728242034723163,1.0
mfeat_morphological,25,mags_tuned,0.05,0.1771428571428571,0.6928571428571428,0.1770807516975094,1.0
mfeat_morphological,25,matched_gini,0.05,0.0428571428571428,0.6528571428571428,0.4377824083136365,1.0
mfeat_morphological,25,noise_augmented_cart,0.05,0.0242857142857142,0.6657142857142857,0.4622517451971406,1.0
mfeat_morphological,26,cart_fixed,0.05,0.05,0.7,0.4008307640365418,1.0
mfeat_morphological,26,cart_pruned,0.05,0.08,0.7042857142857143,0.2930390020864742,1.0
mfeat_morphological,26,cart_tuned_depth,0.05,0.1085714285714285,0.7071428571428572,0.1866896539572322,1.0
mfeat_morphological,26,mags_binary_excluded,0.05,0.0557142857142857,0.6942857142857143,0.362235692593282,1.0
mfeat_morphological,26,mags_fixed,0.05,0.0557142857142857,0.6942857142857143,0.362235692593282,1.0
mfeat_morphological,26,mags_tuned,0.05,0.1014285714285714,0.7014285714285714,0.2869464572858224,1.0
mfeat_morphological,26,matched_gini,0.05,0.0828571428571428,0.6814285714285714,0.285212906412667,1.0
mfeat_morphological,26,noise_augmented_cart,0.05,0.0471428571428571,0.7042857142857143,0.2613117575263405,1.0
mfeat_morphological,27,cart_fixed,0.05,0.0471428571428571,0.6585714285714286,0.431530121131794,1.0
mfeat_morphological,27,cart_pruned,0.05,0.0157142857142857,0.7014285714285714,0.433545331143019,1.0
mfeat_morphological,27,cart_tuned_depth,0.05,0.1485714285714285,0.7085714285714285,0.1777642148574845,1.0
mfeat_morphological,27,mags_binary_excluded,0.05,0.0628571428571428,0.64,0.4335453406699061,1.0
mfeat_morphological,27,mags_fixed,0.05,0.0628571428571428,0.64,0.4335453406699061,1.0
mfeat_morphological,27,mags_tuned,0.05,0.2357142857142857,0.6914285714285714,0.1548922997095857,1.0
mfeat_morphological,27,matched_gini,0.05,0.0628571428571428,0.6528571428571428,0.4002071809628823,1.0
mfeat_morphological,27,noise_augmented_cart,0.05,0.0314285714285714,0.6685714285714286,0.2924601481707667,1.0
